DISTRICTE,CODI_ILLA,SECC_CENS,BARRI,NOM_DISTRICTE,NOM_BARRI,AEB,NUM_PARC,NUM_LOCALS,NUM_VIVENDES,NUM_PARKINGS,NUM_ALTRES,SUP_CONS,SUP_SOBRE_RASANT,SUP_SOTA_RASANT,SUP_LOCALS,SUP_SERVEIS,SUP_SOL,DATA_DADES
3,71940,100,18,Sants-Montjuïc,Sants,73,11,242,109,24,83,22307,21475,832,,,7000,01/09/2023 00:06:16
3,71950,96,18,Sants-Montjuïc,Sants,73,5,47,2,0,24,4138,4108,30,,,2022,01/09/2023 00:06:16
3,71960,96,18,Sants-Montjuïc,Sants,73,16,368,154,123,53,25847,21859,3988,,,4940,01/09/2023 00:06:16
3,71970,96,18,Sants-Montjuïc,Sants,73,9,241,147,55,39,13463,11188,2275,,,3045,01/09/2023 00:06:16
3,71980,96,18,Sants-Montjuïc,Sants,73,1,496,0,0,496,3777,3669,108,,,3503,01/09/2023 00:06:16
3,71990,96,18,Sants-Montjuïc,Sants,73,13,168,75,0,59,13530,12341,1189,,,2847,01/09/2023 00:06:16
3,72000,96,18,Sants-Montjuïc,Sants,73,7,100,44,20,32,7441,6362,1079,,,1706,01/09/2023 00:06:16
3,72011,95,18,Sants-Montjuïc,Sants,73,13,260,145,81,27,18022,14865,3157,,,3688,01/09/2023 00:06:16
3,72012,95,18,Sants-Montjuïc,Sants,73,10,397,218,143,36,26941,22289,4652,,,4072,01/09/2023 00:06:16
3,72020,95,18,Sants-Montjuïc,Sants,73,17,227,181,0,32,14575,14575,0,,,3321,01/09/2023 00:06:16
3,72030,95,18,Sants-Montjuïc,Sants,73,14,201,96,63,26,10917,8576,2341,,,4042,01/09/2023 00:06:16
3,72040,96,18,Sants-Montjuïc,Sants,73,8,111,49,0,25,6917,6393,524,,,1344,01/09/2023 00:06:16
3,72053,96,18,Sants-Montjuïc,Sants,73,18,236,132,0,31,14856,13082,1774,,,3444,01/09/2023 00:06:16
3,72060,95,18,Sants-Montjuïc,Sants,73,12,224,140,26,26,13225,12213,1012,,,2486,01/09/2023 00:06:16
3,72070,97,18,Sants-Montjuïc,Sants,73,21,213,145,0,32,11891,11891,0,,,2844,01/09/2023 00:06:16
3,72080,97,18,Sants-Montjuïc,Sants,73,26,417,129,185,31,18783,14951,3832,,,4801,01/09/2023 00:06:16
3,72090,97,18,Sants-Montjuïc,Sants,73,12,291,171,0,52,19390,19299,91,,,3393,01/09/2023 00:06:16
3,72100,97,18,Sants-Montjuïc,Sants,73,26,258,170,7,17,15888,15799,89,,,3714,01/09/2023 00:06:16
3,72110,71,17,Sants-Montjuïc,Sants - Badal,70,2,43,21,0,8,2345,2345,0,,,401,01/09/2023 00:06:16
3,72120,72,17,Sants-Montjuïc,Sants - Badal,70,9,122,78,0,18,8034,8034,0,,,1433,01/09/2023 00:06:16
3,72131,73,17,Sants-Montjuïc,Sants - Badal,70,18,619,369,151,86,38773,35862,2911,,,5697,01/09/2023 00:06:16
3,72132,73,17,Sants-Montjuïc,Sants - Badal,70,15,335,187,106,32,20810,18024,2786,,,3161,01/09/2023 00:06:16
3,72140,73,17,Sants-Montjuïc,Sants - Badal,70,33,325,171,40,50,20346,18737,1609,,,5424,01/09/2023 00:06:16
3,72151,74,17,Sants-Montjuïc,Sants - Badal,70,43,950,564,185,158,80667,73800,6867,,,21799,01/09/2023 00:06:16
3,72152,74,17,Sants-Montjuïc,Sants - Badal,70,22,405,244,75,69,25799,23028,2771,,,6391,01/09/2023 00:06:16
3,72160,74,17,Sants-Montjuïc,Sants - Badal,70,1,5,0,0,5,4014,4014,0,,,5838,01/09/2023 00:06:16
3,72170,72,17,Sants-Montjuïc,Sants - Badal,70,32,302,210,5,44,22655,20588,2067,,,5725,01/09/2023 00:06:16
3,72180,71,17,Sants-Montjuïc,Sants - Badal,70,26,246,179,14,41,16441,15922,519,,,5934,01/09/2023 00:06:16
3,72190,??,??,Sants-Montjuïc,??,??,21,358,246,34,33,26454,25397,1057,,,7285,01/09/2023 00:06:16
3,72200,70,17,Sants-Montjuïc,Sants - Badal,70,13,286,170,79,26,17079,15151,1928,,,3764,01/09/2023 00:06:16
3,72210,70,17,Sants-Montjuïc,Sants - Badal,70,3,224,110,93,21,21577,18929,2648,,,4238,01/09/2023 00:06:16
3,72220,71,17,Sants-Montjuïc,Sants - Badal,70,7,379,216,141,22,21835,18108,3727,,,3503,01/09/2023 00:06:16
3,72230,71,17,Sants-Montjuïc,Sants - Badal,70,17,325,221,44,41,22446,21097,1349,,,4954,01/09/2023 00:06:16
3,72240,72,17,Sants-Montjuïc,Sants - Badal,70,6,638,318,175,145,31943,27253,4690,,,5335,01/09/2023 00:06:16
3,72250,72,17,Sants-Montjuïc,Sants - Badal,70,1,6,0,0,6,4414,4414,0,,,6125,01/09/2023 00:06:16
3,72260,75,17,Sants-Montjuïc,Sants - Badal,70,19,492,288,120,80,33536,31519,2017,,,6286,01/09/2023 00:06:16
3,72270,75,17,Sants-Montjuïc,Sants - Badal,70,2,5,0,0,5,10334,362,9972,,,5085,01/09/2023 00:06:16
3,72280,75,17,Sants-Montjuïc,Sants - Badal,70,12,407,161,160,36,25696,21133,4563,,,5419,01/09/2023 00:06:16
3,72290,75,17,Sants-Montjuïc,Sants - Badal,70,7,334,115,190,29,19510,13414,6096,,,3519,01/09/2023 00:06:16
3,72300,75,17,Sants-Montjuïc,Sants - Badal,70,14,236,157,12,67,13756,13579,177,,,2942,01/09/2023 00:06:16
3,72310,76,17,Sants-Montjuïc,Sants - Badal,70,21,376,268,29,72,30759,28417,2342,,,5417,01/09/2023 00:06:16
3,72320,76,17,Sants-Montjuïc,Sants - Badal,70,18,261,199,16,30,22632,20594,2038,,,5274,01/09/2023 00:06:16
3,72330,78,17,Sants-Montjuïc,Sants - Badal,70,21,403,205,72,67,25928,24111,1817,,,6410,01/09/2023 00:06:16
3,72340,78,17,Sants-Montjuïc,Sants - Badal,70,28,792,281,358,77,46079,38414,7665,,,10133,01/09/2023 00:06:16
3,72350,77,17,Sants-Montjuïc,Sants - Badal,70,13,155,64,36,19,10878,10015,863,,,2828,01/09/2023 00:06:16
3,72360,77,17,Sants-Montjuïc,Sants - Badal,70,9,122,82,17,23,8856,8260,596,,,2189,01/09/2023 00:06:16
3,72370,77,17,Sants-Montjuïc,Sants - Badal,70,11,616,239,356,21,27377,23405,3972,,,4752,01/09/2023 00:06:16
3,72380,77,17,Sants-Montjuïc,Sants - Badal,70,23,413,195,120,46,25118,22320,2798,,,6155,01/09/2023 00:06:16
3,72390,78,17,Sants-Montjuïc,Sants - Badal,70,12,448,164,209,73,26207,18497,7710,,,4505,01/09/2023 00:06:16
3,72400,79,17,Sants-Montjuïc,Sants - Badal,70,44,498,345,17,75,32373,31512,861,,,9624,01/09/2023 00:06:16
3,72410,80,17,Sants-Montjuïc,Sants - Badal,70,19,271,176,27,44,18662,17562,1100,,,3632,01/09/2023 00:06:16
3,72420,79,17,Sants-Montjuïc,Sants - Badal,70,45,691,387,60,118,49288,46980,2308,,,10654,01/09/2023 00:06:16
3,72430,80,17,Sants-Montjuïc,Sants - Badal,70,25,678,430,162,72,45174,40771,4403,,,6954,01/09/2023 00:06:16
3,72441,80,17,Sants-Montjuïc,Sants - Badal,70,11,128,76,7,40,10629,9651,978,,,2519,01/09/2023 00:06:16
3,72442,80,17,Sants-Montjuïc,Sants - Badal,70,1,54,20,26,8,3730,2704,1026,,,501,01/09/2023 00:06:16
3,72450,57,16,Sants-Montjuïc,la Bordeta,68,15,79,16,1,29,6805,6805,0,,,4266,01/09/2023 00:06:16
3,72462,59,16,Sants-Montjuïc,la Bordeta,68,13,436,308,77,51,31734,25519,6215,,,6483,01/09/2023 00:06:16
3,72464,59,16,Sants-Montjuïc,la Bordeta,68,7,80,48,0,28,5733,5389,344,,,1540,01/09/2023 00:06:16
3,72466,58,16,Sants-Montjuïc,la Bordeta,68,33,1572,594,706,265,100284,79110,21174,,,55953,01/09/2023 00:06:16
3,72470,59,16,Sants-Montjuïc,la Bordeta,68,19,410,267,81,49,27123,24616,2507,,,5955,01/09/2023 00:06:16
3,72480,61,16,Sants-Montjuïc,la Bordeta,68,16,196,90,9,82,11531,10094,1437,,,3767,01/09/2023 00:06:16
3,72490,60,16,Sants-Montjuïc,la Bordeta,68,10,460,127,250,48,24161,16305,7856,,,4959,01/09/2023 00:06:16
3,72500,60,16,Sants-Montjuïc,la Bordeta,68,11,392,201,162,27,26407,21772,4635,,,6936,01/09/2023 00:06:16
3,72511,58,16,Sants-Montjuïc,la Bordeta,68,5,52,35,0,15,3113,2943,170,,,1034,01/09/2023 00:06:16
3,72512,58,16,Sants-Montjuïc,la Bordeta,68,19,235,132,53,44,30313,22232,8081,,,13784,01/09/2023 00:06:16
3,72521,103,18,Sants-Montjuïc,Sants,74,12,227,158,37,20,18197,15463,2734,,,3340,01/09/2023 00:06:16
3,72524,57,16,Sants-Montjuïc,la Bordeta,68,19,411,244,78,66,29948,26823,3125,,,7287,01/09/2023 00:06:16
3,72526,57,16,Sants-Montjuïc,la Bordeta,68,22,898,422,407,65,49535,41174,8361,,,11034,01/09/2023 00:06:16
3,72530,51,15,Sants-Montjuïc,Hostafrancs,67,11,203,114,0,34,14089,13725,364,,,2548,01/09/2023 00:06:16
3,72540,51,15,Sants-Montjuïc,Hostafrancs,67,22,242,99,37,47,16590,14775,1815,,,4331,01/09/2023 00:06:16
3,72550,104,18,Sants-Montjuïc,Sants,74,17,215,87,49,38,13559,12441,1118,,,4260,01/09/2023 00:06:16
3,72560,104,18,Sants-Montjuïc,Sants,74,12,92,45,1,35,8217,8030,187,,,1921,01/09/2023 00:06:16
3,72570,104,18,Sants-Montjuïc,Sants,74,12,146,57,10,40,10807,9922,885,,,2946,01/09/2023 00:06:16
3,72581,104,18,Sants-Montjuïc,Sants,74,3,27,4,5,10,1992,1992,0,,,807,01/09/2023 00:06:16
3,72582,104,18,Sants-Montjuïc,Sants,74,9,215,80,99,22,11268,8763,2505,,,3180,01/09/2023 00:06:16
3,72590,103,18,Sants-Montjuïc,Sants,74,16,667,213,378,54,30238,22783,7455,,,6277,01/09/2023 00:06:16
3,72600,103,18,Sants-Montjuïc,Sants,74,4,336,167,139,22,18623,15759,2864,,,3193,01/09/2023 00:06:16
3,72610,102,18,Sants-Montjuïc,Sants,74,21,444,190,174,22,25487,22382,3105,,,7854,01/09/2023 00:06:16
3,72620,58,16,Sants-Montjuïc,la Bordeta,68,1,0,0,0,0,0,0,0,,,2517,01/09/2023 00:06:16
3,72630,60,16,Sants-Montjuïc,la Bordeta,68,3,259,125,109,25,16576,12552,4024,,,3506,01/09/2023 00:06:16
3,72640,60,16,Sants-Montjuïc,la Bordeta,68,21,156,111,2,17,11723,11723,0,,,4151,01/09/2023 00:06:16
3,72650,101,18,Sants-Montjuïc,Sants,74,54,567,372,68,68,41093,39126,1967,,,13089,01/09/2023 00:06:16
3,72661,102,18,Sants-Montjuïc,Sants,74,14,182,143,1,21,16193,15390,803,,,3629,01/09/2023 00:06:16
3,72662,60,16,Sants-Montjuïc,la Bordeta,68,1,1,0,0,1,56,56,0,,,2244,01/09/2023 00:06:16
3,72671,102,18,Sants-Montjuïc,Sants,74,21,155,101,1,26,12075,12075,0,,,4399,01/09/2023 00:06:16
